task	keywords	recommended_modules	local_first	notes
heatmap	expression heatmap marker signature pvalue p-value clustered matrix	FigureYa9heatmap;FigureYa165heatmapPvalue;FigureYa169sigHeatmap;FigureYa206scHeatmap;FigureYa213customizeHeatmap;FigureYa243scMarkerGroupHeatmap	FigureYa9heatmap;FigureYa165heatmapPvalue;FigureYa169sigHeatmap;FigureYa206scHeatmap	Use marker/sc heatmap modules for single-cell matrices and generic heatmap modules for bulk expression.
volcano-deg	volcano DEG differential expression limma DESeq2 edgeR multiclass scDEG	FigureYa59volcanoV2;FigureYa75bubble_volcano;FigureYa119Multiclasslimma;FigureYa118MulticlassDESeq2;FigureYa120MulticlassedgeR;FigureYa235scDEG;FigureYa321volcanoSE	FigureYa59volcanoV2;FigureYa75bubble_volcano;FigureYa119Multiclasslimma;FigureYa235scDEG	Check contrast direction and adjusted p-value column before plotting.
survival-risk	survival KM Kaplan Meier Cox nomogram risk score timeROC AUC random forest RFS	FigureYa128Prognostic;FigureYa141risk;FigureYa171subgroupSurv;FigureYa193RiskTable;FigureYa210survivalScape;FigureYa36nSurvV3;FigureYa85timeROC;FigureYa182RFSurvV2;FigureYa183condSurv;FigureYa30nomogram_update	FigureYa128Prognostic;FigureYa141risk;FigureYa171subgroupSurv;FigureYa193RiskTable;FigureYa210survivalScape;FigureYa36nSurvV3;FigureYa85timeROC	Verify survival time units and event/censor coding.
roc-classifier	ROC AUC classifier diagnostic timeROC multipanel pairwise	FigureYa24ROC;FigureYa85timeROC;FigureYa102multipanelROC;FigureYa200pairwiseAUC	FigureYa24ROC;FigureYa85timeROC;FigureYa102multipanelROC;FigureYa200pairwiseAUC	Use timeROC only for survival-time dependent AUC.
immune-tme	immune TME infiltration immunotherapy checkpoint IPS TIME subtype CIBERSORT EPIC TIMER	FigureYa106immunotherapy;FigureYa146TMEbox;FigureYa154immuneSubtypes;FigureYa205immunophenoscore_update;FigureYa255TIME;FigureYa277Immunomodulator;FigureYa234panImmune	FigureYa106immunotherapy;FigureYa146TMEbox;FigureYa154immuneSubtypes;FigureYa205immunophenoscore_update;FigureYa255TIME;FigureYa277Immunomodulator;FigureYa234panImmune	Keep method names clear because immune scores from different tools are not interchangeable.
enrichment-pathway	GSEA GSVA ssGSEA GO KEGG enrichment pathway gene set clusterProfiler	FigureYa13GSEA_Java_update;FigureYa60GSEA_clusterProfilerV2;FigureYa61GSVA;FigureYa71ssGSEA_update;FigureYa80GOclustering;FigureYa156enrichSimulation;FigureYa214KEGG_hierarchyV2	FigureYa13GSEA_Java_update;FigureYa60GSEA_clusterProfilerV2;FigureYa61GSVA;FigureYa71ssGSEA_update;FigureYa80GOclustering;FigureYa156enrichSimulation	Confirm organism, ID type, and ranking metric.
mutation-genomics	mutation oncoplot MAF SNV signature MutSigCV TMB titv landscape exclusivity	FigureYa18oncoplot_update;FigureYa110mutationSignature;FigureYa113MutSigCV;FigureYa158MutationPattern;FigureYa238corRiskMut;FigureYa276panSNV;FigureYa248MutLandscape;FigureYa288MutualExclusivity	FigureYa18oncoplot_update;FigureYa110mutationSignature;FigureYa113MutSigCV;FigureYa158MutationPattern;FigureYa238corRiskMut;FigureYa276panSNV	Validate genome build and sample barcode normalization.
single-cell	scRNA single cell marker scDEG CellChat AUCell cNMF NMF RNA velocity metabolism coexpression	FigureYa177RNAvelocity;FigureYa206scHeatmap;FigureYa223scNMF;FigureYa224scMarker;FigureYa235scDEG;FigureYa267scCellChat;FigureYa269scMetabolism;FigureYa272scBulkCCCI;FigureYa275scAUCell;FigureYa301scCoExpr;FigureYa243scMarkerGroupHeatmap	FigureYa177RNAvelocity;FigureYa206scHeatmap;FigureYa223scNMF;FigureYa224scMarker;FigureYa235scDEG;FigureYa267scCellChat;FigureYa269scMetabolism;FigureYa272scBulkCCCI;FigureYa275scAUCell;FigureYa301scCoExpr	For large Seurat/AnnData objects, avoid repeated reloads.
drug-target	GDSC CMap CMAP XSum IC50 drug response target network oncoPredict CTRP PRISM	FigureYa105GDSC;FigureYa131CMap_update;FigureYa145target;FigureYa282CMAP_XSum;FigureYa247oncoPredict;FigureYa212drugTargetV2	FigureYa105GDSC;FigureYa131CMap_update;FigureYa145target;FigureYa282CMAP_XSum	Use local GDSC, CMap, target, or CMAP/XSum modules first; fetch missing upstream modules before execution.
machine-learning	SVM elastic net LASSO repeated lasso GMM random forest ranger Boruta XGBoost supervised	FigureYa65SVM;FigureYa218Elasticnet;FigureYa219GMM;FigureYa220repeatedLasso;FigureYa184ranger;FigureYa116supervisedCluster;FigureYa246supervisedGDSC;FigureYa316RF_XGBoost_Boruta	FigureYa65SVM;FigureYa218Elasticnet;FigureYa219GMM;FigureYa220repeatedLasso;FigureYa184ranger;FigureYa116supervisedCluster;FigureYa246supervisedGDSC	Separate model training from figure rendering; preserve seeds and folds.
multiomics-circos	multiomics circos circular CNV methylation ATAC lncRNA coexpression correlation sankey network	FigureYa14circos;FigureYa26circos_R;FigureYa74OmicCircos;FigureYa259circLink;FigureYa270panMeth;FigureYa271panMethExpr;FigureYa155ATAC;FigureYa41GEO2lncRNA_update;FigureYa58lncRNAreannotation;FigureYa303panCircos	FigureYa14circos;FigureYa26circos_R;FigureYa74OmicCircos;FigureYa259circLink;FigureYa270panMeth;FigureYa271panMethExpr;FigureYa155ATAC;FigureYa41GEO2lncRNA_update;FigureYa58lncRNAreannotation	Use ID harmonization before joining multi-omics tracks.
